use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
divest,0.237,join,0.105,ship,0.097,prospect,0.146,note,0.080,arise,0.232,accurse,0.163,slacken,0.051,frequent,0.080,mention,0.053
murmur,0.237,subscribe,0.104,fox,0.097,widow,0.146,honor,0.080,accurse,0.232,arise,0.163,acquaint,0.051,ebb,0.080,diversify,0.053
lash,0.237,glory,0.103,bet,0.096,endear,0.146,refinance,0.080,impel,0.232,suffer,0.163,adhere,0.051,whirl,0.079,forget,0.053
dwell,0.236,promote,0.102,bloom,0.095,confirm,0.146,belt,0.079,conceive,0.232,boast,0.163,dissatisfy,0.050,uncover,0.079,prevail,0.053
resound,0.236,diversify,0.102,convene,0.095,article,0.145,join,0.078,conclude,0.231,retain,0.163,suppress,0.050,hesitate,0.079,testify,0.052
proportion,0.236,fan,0.101,dispatch,0.095,depose,0.145,discount,0.077,dissatisfy,0.231,discharge,0.163,conceive,0.050,persist,0.079,civilize,0.051
prevail,0.236,volunteer,0.100,match,0.094,author,0.144,gun,0.077,darken,0.231,imbibe,0.163,perceive,0.050,refinance,0.078,fasten,0.051
rend,0.235,revolve,0.100,twin,0.094,endorse,0.144,cheat,0.076,indulge,0.231,reign,0.162,scruple,0.050,smelt,0.078,conclude,0.051
levy,0.235,recess,0.100,spend,0.094,oust,0.144,reel,0.075,chant,0.231,strive,0.162,unite,0.049,nominate,0.078,dazzle,0.051
adjoin,0.235,well,0.099,cough,0.093,vanish,0.144,impeach,0.075,inculcate,0.230,suppress,0.162,condescend,0.049,subjoin,0.078,bequeath,0.050
prospect,0.235,accurse,0.099,rival,0.093,accuse,0.144,celebrate,0.075,discharge,0.230,dissolve,0.162,promise,0.049,flit,0.078,miss,0.050
elude,0.235,fool,0.099,tuck,0.093,lash,0.144,plan,0.075,vindicate,0.230,resound,0.162,derive,0.049,confess,0.078,reelect,0.049
expand,0.235,welcome,0.099,tie,0.093,result,0.144,wield,0.075,recur,0.230,distinguish,0.162,strive,0.049,prevail,0.078,deposit,0.049
augment,0.235,watch,0.098,look,0.093,quicken,0.144,trademark,0.075,retain,0.230,sup,0.162,adduce,0.049,resound,0.077,trickle,0.049
excite,0.235,wan,0.098,whisper,0.092,clothe,0.143,participate,0.074,efface,0.230,bosom,0.162,stow,0.049,shroud,0.077,overturn,0.049
flatter,0.235,plat,0.098,fund,0.092,decay,0.143,scout,0.074,dwell,0.230,flit,0.162,correspond,0.049,ripen,0.077,perch,0.048
suspend,0.234,coincide,0.098,access,0.092,neighbor,0.143,reconcile,0.073,deem,0.230,rend,0.162,subjoin,0.049,soften,0.077,perfume,0.048
debase,0.234,woo,0.097,mention,0.092,levy,0.143,venture,0.073,render,0.230,derive,0.162,avow,0.049,dispose,0.077,swear,0.048
bereave,0.234,bolster,0.095,last,0.091,corroborate,0.143,drive,0.073,perpetrate,0.230,steamer,0.162,efface,0.049,invest,0.077,qualify,0.048
elapse,0.234,premier,0.095,name,0.091,squire,0.143,propose,0.073,teem,0.230,correspond,0.162,perpetrate,0.049,conceive,0.077,compass,0.047
accurse,0.234,score,0.095,order,0.090,summit,0.142,contest,0.071,impute,0.230,lash,0.162,discharge,0.049,consign,0.077,gratify,0.047
quarrel,0.234,recruit,0.095,foster,0.090,account,0.142,plot,0.071,scend,0.230,ordain,0.162,knight,0.049,nod,0.076,reign,0.047
befit,0.234,afford,0.093,attract,0.090,lave,0.142,draft,0.071,excite,0.230,inculcate,0.162,resound,0.049,doubt,0.076,mantle,0.047
decree,0.234,plan,0.093,save,0.090,grant,0.142,rival,0.071,scruple,0.230,peal,0.162,usurp,0.048,admit,0.076,consider,0.047
arise,0.234,pioneer,0.093,cheat,0.089,commemorate,0.142,emancipate,0.071,encroach,0.230,furnish,0.161,rhyme,0.048,droop,0.076,vanish,0.047
wilt,0.234,cheat,0.093,peep,0.089,rival,0.142,spy,0.071,exceed,0.230,undertake,0.161,adjoin,0.048,adduce,0.076,blame,0.047
blot,0.234,fox,0.092,map,0.089,perch,0.142,diversify,0.071,derive,0.230,decree,0.161,war,0.048,succeed,0.076,depose,0.047
bestow,0.234,authorize,0.092,date,0.089,conclude,0.142,attest,0.070,lave,0.230,extricate,0.161,overcome,0.048,elapse,0.076,thunder,0.047
slacken,0.234,shill,0.092,track,0.089,manufacture,0.142,confederate,0.069,sup,0.230,perpetrate,0.161,grieve,0.048,repress,0.076,forecast,0.046
discharge,0.234,wish,0.092,second,0.089,commission,0.142,recess,0.069,bestow,0.230,procure,0.161,fasten,0.048,dissatisfy,0.076,intrude,0.046
dissolve,0.234,whitewash,0.092,watch,0.088,crook,0.142,seduce,0.069,parch,0.230,teem,0.161,afflict,0.048,slacken,0.076,clamber,0.046
efface,0.233,win,0.091,cup,0.088,charter,0.142,read,0.069,adduce,0.230,dwell,0.161,retain,0.047,estimate,0.076,marry,0.046
garrison,0.233,model,0.091,book,0.088,repress,0.141,visit,0.069,sojourn,0.230,render,0.161,gleam,0.047,intersect,0.076,rejoice,0.046
interpose,0.233,insure,0.091,obscure,0.088,instruct,0.141,crook,0.069,betray,0.230,consist,0.161,flatter,0.047,afford,0.076,divest,0.046
abridge,0.233,lament,0.091,scotch,0.087,proceed,0.141,award,0.068,garrison,0.230,nod,0.161,roar,0.047,moderate,0.076,exceed,0.046
inflame,0.233,retire,0.091,dream,0.087,thrive,0.141,book,0.068,adjoin,0.229,gratify,0.161,bestow,0.047,lend,0.075,divide,0.046
subjoin,0.233,neighbor,0.090,corrupt,0.087,reign,0.141,crackle,0.068,promise,0.229,slacken,0.161,depose,0.047,reconcile,0.075,slacken,0.045
gall,0.233,prowl,0.090,cabin,0.087,grudge,0.141,retake,0.068,decree,0.229,sear,0.161,moonlight,0.047,assassinate,0.075,derive,0.045
quicken,0.233,brief,0.089,brand,0.087,expense,0.141,minister,0.067,enclose,0.229,elate,0.161,embody,0.047,vindicate,0.075,curse,0.045
adjourn,0.233,curse,0.089,marry,0.086,subscribe,0.141,bore,0.067,ail,0.229,admit,0.160,betray,0.046,extricate,0.075,echo,0.045
ail,0.233,worry,0.089,list,0.086,refinance,0.141,frequent,0.067,quarrel,0.229,darken,0.160,ail,0.046,hum,0.075,brood,0.045
abate,0.233,shanghai,0.088,engrave,0.086,trust,0.141,rave,0.067,forbear,0.229,bestow,0.160,sup,0.046,lavish,0.075,accurse,0.045
boast,0.233,recognize,0.088,feast,0.086,authorize,0.141,narrate,0.066,regiment,0.229,deem,0.160,destine,0.046,entitle,0.075,recognize,0.045
sup,0.233,snake,0.087,visit,0.086,avert,0.141,win,0.066,slacken,0.229,enliven,0.160,enumerate,0.046,adjoin,0.075,eclipse,0.045
trace,0.233,crest,0.087,veil,0.086,invite,0.141,march,0.066,assent,0.229,ennoble,0.160,martyr,0.046,scend,0.075,pink,0.045
variegate,0.233,gamble,0.087,compass,0.085,refer,0.141,update,0.066,bewilder,0.229,beckon,0.160,deplore,0.046,deplore,0.075,disturb,0.045
accord,0.233,shudder,0.087,attest,0.085,honor,0.141,avert,0.066,perceive,0.229,incur,0.160,persuade,0.046,flesh,0.075,extricate,0.045
destine,0.233,fade,0.087,knot,0.085,last,0.140,distribute,0.066,incur,0.229,scruple,0.160,boast,0.046,contradict,0.075,affirm,0.045
languish,0.233,dam,0.086,arrive,0.085,mantle,0.140,cabin,0.066,elapse,0.229,adduce,0.160,civilize,0.046,perceive,0.075,condescend,0.045
heave,0.233,threaten,0.086,guide,0.085,resound,0.140,pervert,0.065,sanction,0.229,forbear,0.160,daunt,0.046,frost,0.075,ripen,0.045
perpetrate,0.233,hope,0.086,gaze,0.085,blame,0.140,decide,0.065,redden,0.229,quarrel,0.160,inaugurate,0.046,strew,0.075,vote,0.045
render,0.233,associate,0.086,narrate,0.085,shun,0.140,borrow,0.065,allude,0.229,daunt,0.160,lash,0.046,imbibe,0.075,reckon,0.044
betroth,0.233,whiten,0.086,spot,0.084,lament,0.140,concert,0.065,boast,0.229,scend,0.160,bewilder,0.046,waver,0.074,profess,0.044
heighten,0.233,scar,0.086,prize,0.084,settle,0.140,flare,0.065,dilapidate,0.229,bustle,0.160,forgive,0.046,peg,0.074,trace,0.044
repose,0.233,celebrate,0.086,seed,0.084,petition,0.140,order,0.065,repose,0.229,shun,0.160,deposit,0.045,neighbor,0.074,rename,0.044
assent,0.233,apply,0.086,premise,0.084,chronicle,0.140,tune,0.065,seclude,0.228,bore,0.159,excite,0.045,squire,0.074,usher,0.044
thrive,0.233,deafen,0.085,couple,0.084,cost,0.140,church,0.065,languish,0.228,entrust,0.159,dwell,0.045,ail,0.074,trust,0.044
exceed,0.232,testify,0.085,examine,0.084,anchor,0.140,divide,0.065,reinforce,0.228,sojourn,0.159,sanction,0.045,accuse,0.074,dissolve,0.044
conclude,0.232,convene,0.085,brown,0.084,hedge,0.140,invade,0.064,interpose,0.228,depute,0.159,quarrel,0.045,regret,0.074,doom,0.044
impute,0.232,eagle,0.085,intersect,0.084,reap,0.140,race,0.063,inaugurate,0.228,remonstrate,0.159,repose,0.045,destine,0.074,dam,0.044
discourse,0.232,disappoint,0.085,sequester,0.083,extort,0.140,thrill,0.062,beset,0.228,dilapidate,0.159,render,0.045,daunt,0.074,foster,0.044
teem,0.232,brighten,0.084,shell,0.083,consist,0.139,chuckle,0.062,surmount,0.228,pardon,0.159,prospect,0.045,depute,0.074,perceive,0.044
grieve,0.232,greet,0.084,grudge,0.083,publish,0.139,shudder,0.062,subjoin,0.228,doubt,0.159,pioneer,0.045,thunder,0.074,inscribe,0.044
scruple,0.232,stable,0.084,shuffle,0.083,fasten,0.139,sequester,0.062,deprive,0.228,efface,0.159,abridge,0.045,pierce,0.074,fuse,0.044
impend,0.232,crash,0.084,calculate,0.083,seethe,0.139,sail,0.062,emanate,0.228,descry,0.159,die,0.045,belong,0.074,widow,0.043
entrust,0.232,spy,0.084,downgrade,0.083,introduce,0.139,bowl,0.062,affirm,0.228,encroach,0.159,sojourn,0.045,teem,0.074,inculcate,0.043
descry,0.232,plunge,0.083,retake,0.083,import,0.139,applaud,0.062,perplex,0.228,garrison,0.159,mar,0.045,bequeath,0.074,name,0.043
enliven,0.232,expense,0.083,pair,0.083,adjoin,0.139,fly,0.061,apprehend,0.228,recur,0.159,expense,0.045,prospect,0.074,overshadow,0.043
redouble,0.232,crook,0.083,charter,0.082,strengthen,0.139,dart,0.061,govern,0.228,subjoin,0.159,declare,0.045,weigh,0.074,brief,0.043
daunt,0.232,forget,0.083,count,0.082,reinforce,0.139,own,0.061,depute,0.228,destine,0.159,deem,0.045,forget,0.074,declare,0.043
bustle,0.232,flow,0.083,skin,0.082,uncover,0.139,oust,0.060,befit,0.228,parch,0.159,beckon,0.045,blacken,0.074,wrest,0.043
bewilder,0.232,chamber,0.083,investigate,0.082,impoverish,0.139,swear,0.060,oust,0.228,allude,0.159,scend,0.045,quiver,0.074,blight,0.043
retain,0.232,moonlight,0.082,witness,0.082,dissolve,0.139,pirate,0.060,seethe,0.228,underlie,0.159,depute,0.045,sojourn,0.074,stow,0.043
perplex,0.232,berth,0.082,commit,0.082,shipwreck,0.139,pioneer,0.060,extricate,0.228,ripen,0.158,strew,0.045,compel,0.074,impress,0.043
depute,0.232,commemorate,0.082,star,0.082,befit,0.139,beard,0.060,slave,0.228,inaugurate,0.158,befit,0.045,wrinkle,0.074,repudiate,0.043
perceive,0.232,impregnate,0.081,cross,0.082,seclude,0.138,count,0.060,undulate,0.228,beset,0.158,accumulate,0.045,tremble,0.074,strive,0.043
sojourn,0.232,dare,0.081,lend,0.082,forgive,0.138,fair,0.060,daunt,0.228,ascertain,0.158,twinkle,0.044,seclude,0.074,lave,0.043
nourish,0.232,migrate,0.081,contest,0.081,circulate,0.138,pledge,0.059,confess,0.228,perplex,0.158,blacken,0.044,volunteer,0.074,transact,0.043
acquaint,0.232,reinforce,0.081,acknowledge,0.081,ting,0.138,ship,0.059,avow,0.228,interpose,0.158,remonstrate,0.044,throng,0.074,represent,0.043
adduce,0.232,regret,0.081,channel,0.081,shuffle,0.138,torture,0.059,engender,0.227,ail,0.158,inscribe,0.044,seethe,0.074,hush,0.043
elate,0.232,avail,0.081,color,0.081,persuade,0.138,open,0.059,inscribe,0.227,adjoin,0.158,forbear,0.044,accede,0.074,poise,0.043
admit,0.232,tax,0.080,shanghai,0.081,animate,0.138,deposit,0.059,enliven,0.227,lave,0.158,seclude,0.044,encroach,0.074,discourse,0.043
sanction,0.232,persevere,0.080,inspect,0.081,frequent,0.138,scribe,0.059,neglect,0.227,proportion,0.158,rend,0.044,darken,0.074,pioneer,0.043
reap,0.232,ebb,0.080,recruit,0.081,differ,0.138,spill,0.059,remainder,0.227,neglect,0.158,clamber,0.044,promise,0.074,rivet,0.043
encroach,0.231,graduate,0.080,report,0.081,nod,0.138,credit,0.059,defray,0.227,strengthen,0.158,exceed,0.044,emigrate,0.074,procure,0.043
derive,0.231,finish,0.080,celebrate,0.081,substitute,0.138,hunt,0.059,debase,0.227,estimate,0.158,meddle,0.044,suffer,0.074,discharge,0.043
throb,0.231,adore,0.079,record,0.081,tarry,0.138,obscure,0.058,recede,0.227,seethe,0.158,wail,0.044,enliven,0.073,wag,0.043
surmount,0.231,invest,0.079,vary,0.080,profess,0.138,glory,0.058,afflict,0.227,elapse,0.158,harry,0.044,forbear,0.073,tarry,0.043
remonstrate,0.231,grade,0.079,model,0.080,soften,0.138,petition,0.058,dishearten,0.227,accede,0.158,enjoin,0.044,inherit,0.073,chant,0.043
engender,0.231,corrupt,0.079,japan,0.080,divest,0.138,prize,0.058,adjourn,0.227,establish,0.158,dedicate,0.044,emanate,0.073,prospect,0.043
supplant,0.231,finance,0.079,enhance,0.080,vent,0.138,charge,0.058,resound,0.227,sanction,0.158,govern,0.044,gin,0.073,strengthen,0.043
mortify,0.231,master,0.079,mark,0.080,adduce,0.137,compete,0.058,accede,0.226,stratify,0.158,appoint,0.044,exult,0.073,assent,0.043
invade,0.231,order,0.078,trade,0.080,court,0.137,disclose,0.058,ennoble,0.226,variegate,0.158,suffice,0.044,gild,0.073,scruple,0.043
intoxicate,0.231,vanish,0.078,introduce,0.080,divert,0.137,enter,0.058,bespeak,0.226,dissatisfy,0.158,undertake,0.044,welsh,0.073,reek,0.043
remainder,0.231,embroider,0.078,smuggle,0.080,compel,0.137,kiss,0.058,throng,0.226,surmount,0.158,assert,0.044,exceed,0.073,compromise,0.042
betray,0.231,startle,0.078,view,0.080,depute,0.137,stable,0.057,bereave,0.226,enjoin,0.158,pluck,0.044,efface,0.073,regard,0.042
impel,0.231,obscure,0.078,pale,0.080,par,0.137,grade,0.057,impend,0.226,divest,0.158,bereave,0.044,martyr,0.073,win,0.042
enjoin,0.231,resist,0.077,kindle,0.080,exclude,0.137,afford,0.057,remonstrate,0.226,avow,0.157,eagle,0.043,sob,0.073,reinforce,0.042
sear,0.231,condition,0.077,intercept,0.080,civilize,0.137,witness,0.057,rend,0.226,redden,0.157,sober,0.043,vein,0.073,inflict,0.042
inculcate,0.231,amaze,0.077,scour,0.080,patent,0.137,target,0.057,exult,0.226,decay,0.157,oust,0.043,inhabit,0.073,hire,0.042
affix,0.231,handle,0.077,seat,0.080,darken,0.137,scrap,0.057,heave,0.226,inscribe,0.157,engender,0.043,tint,0.073,differ,0.042
influence,0.231,deploy,0.077,associate,0.080,destine,0.137,bet,0.056,heighten,0.226,bereave,0.157,proportion,0.043,parch,0.073,woo,0.042
defray,0.231,belong,0.077,cloud,0.080,dismay,0.137,war,0.056,deplore,0.226,devour,0.157,elapse,0.043,avow,0.073,circulate,0.042
peal,0.231,squire,0.077,mind,0.080,affirm,0.137,cup,0.056,prospect,0.226,conceive,0.157,rank,0.043,spoil,0.073,witness,0.042
avow,0.231,perform,0.077,score,0.080,arise,0.137,vote,0.056,enjoin,0.226,excite,0.157,squire,0.043,surmount,0.073,redden,0.042
frost,0.231,ping,0.077,develop,0.080,adjourn,0.137,beach,0.056,dissolve,0.226,engender,0.157,suffer,0.043,ting,0.073,tempt,0.042
ennoble,0.231,complain,0.077,peer,0.080,imbibe,0.136,consider,0.056,descry,0.226,recede,0.157,shun,0.043,bereave,0.073,coincide,0.042
declare,0.231,awe,0.077,anchor,0.079,entitle,0.136,neighbor,0.056,elate,0.226,relieve,0.157,devise,0.043,testify,0.073,confine,0.042
incur,0.231,addict,0.077,kiss,0.079,pursue,0.136,fool,0.056,blacken,0.226,impute,0.157,furnish,0.043,sparkle,0.073,retain,0.042
accede,0.230,frost,0.077,congregate,0.079,undulate,0.136,enslave,0.056,stow,0.226,appoint,0.157,dismiss,0.043,tame,0.073,cloud,0.042
conceive,0.230,steal,0.076,quote,0.079,neglect,0.136,apply,0.056,knight,0.225,recommend,0.157,gall,0.043,seduce,0.073,grieve,0.042
vent,0.230,unveil,0.076,stain,0.079,elate,0.136,fox,0.056,frost,0.225,blacken,0.157,voyage,0.043,adjourn,0.073,uncover,0.042
divine,0.230,boost,0.076,recommend,0.079,impend,0.136,marry,0.055,condescend,0.225,squire,0.157,revive,0.042,engender,0.073,dispense,0.042
exult,0.230,range,0.076,perfume,0.079,frost,0.136,shroud,0.055,ascertain,0.225,exult,0.157,devil,0.042,perpetrate,0.073,correspond,0.042
waft,0.230,darken,0.076,shipwreck,0.079,conceive,0.136,make,0.055,baptize,0.225,suppose,0.157,recur,0.042,administer,0.073,chronicle,0.042
compose,0.230,narrate,0.075,even,0.079,vindicate,0.136,estimate,0.055,betroth,0.225,assay,0.156,steamer,0.042,lurk,0.073,ail,0.042
exert,0.230,habit,0.075,stream,0.079,forfeit,0.136,laugh,0.055,inflame,0.225,meddle,0.156,assure,0.042,befit,0.073,root,0.042
scend,0.230,rebuild,0.075,meet,0.079,sear,0.136,plate,0.055,flatter,0.225,seclude,0.156,inhabit,0.042,befall,0.072,bribe,0.042
affect,0.230,court,0.075,decide,0.079,dispose,0.136,crown,0.055,shun,0.225,tarry,0.156,convulse,0.042,retain,0.072,adore,0.042
confess,0.230,price,0.075,warn,0.079,suffer,0.136,sting,0.055,skirmish,0.225,voyage,0.156,regiment,0.042,discharge,0.072,martyr,0.042
expose,0.230,record,0.075,blue,0.079,desire,0.136,spur,0.055,furnish,0.225,mortify,0.156,fuse,0.042,encircle,0.072,sojourn,0.042
chafe,0.230,bronze,0.075,read,0.079,scend,0.136,assassinate,0.055,illustrate,0.225,abridge,0.156,flee,0.042,assert,0.072,rend,0.042
imbibe,0.230,temper,0.075,breakfast,0.079,banish,0.136,japan,0.054,lash,0.224,bespeak,0.156,shorten,0.042,profess,0.072,betray,0.042
harry,0.230,vein,0.074,flag,0.079,allude,0.136,arrive,0.054,variegate,0.224,enclose,0.156,hum,0.042,devote,0.072,seize,0.042
recur,0.230,fast,0.074,enter,0.079,adhere,0.136,engrave,0.054,mortify,0.224,confine,0.156,interpose,0.042,stow,0.072,forfeit,0.042
promulgate,0.230,host,0.074,cruise,0.079,whirl,0.136,stock,0.054,abate,0.224,affix,0.156,abate,0.042,dwell,0.072,quicken,0.042
squire,0.229,beard,0.074,host,0.079,accede,0.136,blossom,0.054,destine,0.224,peg,0.156,underlie,0.042,interpose,0.072,infest,0.042
taper,0.229,fair,0.074,foil,0.079,appoint,0.136,slip,0.054,stratify,0.224,situate,0.156,emanate,0.041,proportion,0.072,entrust,0.042
frequent,0.229,prejudice,0.074,summit,0.078,perceive,0.136,state,0.054,peal,0.224,chronicle,0.156,sleep,0.041,bestow,0.072,admit,0.042
bespeak,0.229,discover,0.074,commemorate,0.078,boast,0.135,thrive,0.054,vanish,0.224,bewilder,0.156,strengthen,0.041,gratify,0.072,spy,0.042
trot,0.229,hail,0.074,accuse,0.078,bespeak,0.135,argue,0.054,quiver,0.224,dishearten,0.156,enslave,0.041,hem,0.072,scotch,0.041
conquer,0.229,remember,0.074,dawn,0.078,ascertain,0.135,brim,0.054,endear,0.224,acquaint,0.156,garrison,0.041,boast,0.072,destine,0.041
dispose,0.229,estimate,0.074,habit,0.078,suffice,0.135,meddle,0.053,ting,0.224,diverge,0.156,discourse,0.041,bewilder,0.072,wave,0.041
afflict,0.229,trace,0.073,identify,0.078,emanate,0.135,support,0.053,befall,0.224,enable,0.156,fade,0.041,dishearten,0.072,boast,0.041
hem,0.229,rifle,0.073,affect,0.078,enclose,0.135,oppose,0.053,entrust,0.224,afflict,0.156,lavish,0.041,prejudice,0.072,scend,0.041
furnish,0.229,propose,0.073,haunt,0.078,venture,0.135,mention,0.053,chronicle,0.224,repudiate,0.156,ascertain,0.041,gleam,0.072,remember,0.041
redden,0.228,better,0.073,prejudice,0.078,distinguish,0.135,ban,0.052,vex,0.224,defray,0.156,denounce,0.041,dream,0.072,dangle,0.041
dilapidate,0.228,bless,0.073,whitewash,0.078,recommend,0.135,track,0.052,hew,0.224,transact,0.156,sigh,0.041,heave,0.072,undertake,0.041
usurp,0.228,ripen,0.073,spy,0.078,surge,0.135,trip,0.052,succumb,0.224,befit,0.156,accede,0.041,descry,0.072,repose,0.041
wend,0.228,course,0.073,entrance,0.078,delineate,0.135,divest,0.052,imbibe,0.224,wail,0.155,grumble,0.041,undulate,0.072,situate,0.041
pardon,0.228,dream,0.073,pervert,0.078,dilapidate,0.135,testify,0.052,discourse,0.224,thrive,0.155,redden,0.041,render,0.072,caress,0.041
retreat,0.228,slave,0.073,choose,0.078,variegate,0.135,follow,0.052,devolve,0.223,utter,0.155,moderate,0.041,remonstrate,0.072,bestow,0.041
impart,0.228,fall,0.073,tax,0.077,undertake,0.135,compromise,0.052,mar,0.223,compare,0.155,succeed,0.041,trust,0.072,harry,0.041
spark,0.228,feed,0.073,forgive,0.077,efface,0.135,last,0.052,wreathe,0.223,remainder,0.155,descry,0.040,betray,0.072,surrender,0.041
condescend,0.228,rise,0.073,price,0.077,credit,0.135,menace,0.052,exalt,0.223,mar,0.155,encroach,0.040,awaken,0.072,manufacture,0.041
ting,0.228,operate,0.073,stab,0.077,apprehend,0.135,dare,0.051,wail,0.222,prospect,0.155,arise,0.040,garrison,0.072,alternate,0.041
impoverish,0.228,flock,0.073,judge,0.077,correspond,0.135,revenge,0.051,scribe,0.222,gall,0.155,fin,0.040,correspond,0.072,render,0.041
ripen,0.228,shipwreck,0.073,bob,0.077,deceive,0.135,doctor,0.051,pave,0.222,exempt,0.155,survive,0.040,gall,0.072,interpose,0.041
adhere,0.228,slight,0.073,pledge,0.077,reside,0.135,invite,0.051,underlie,0.222,embattle,0.155,circulate,0.040,heap,0.072,ordain,0.041
transmit,0.228,voyage,0.072,withdraw,0.077,intrude,0.135,implement,0.051,intoxicate,0.222,assail,0.155,manifest,0.040,steamer,0.072,descry,0.041
dishearten,0.228,wrinkle,0.072,set,0.077,derive,0.135,regard,0.051,reap,0.222,waver,0.155,wan,0.040,repose,0.072,entangle,0.041
exalt,0.228,impress,0.072,jar,0.077,inculcate,0.134,piece,0.051,revenge,0.222,blight,0.155,chronicle,0.040,prompt,0.072,regiment,0.041
fin,0.228,sober,0.072,schedule,0.077,retain,0.134,civilize,0.051,proportion,0.222,impel,0.154,regard,0.040,obscure,0.072,dwell,0.041
revolve,0.228,advise,0.072,beach,0.076,enable,0.134,officiate,0.051,reproach,0.222,succumb,0.154,suspend,0.040,regiment,0.072,sanction,0.041
enrich,0.228,career,0.072,grey,0.076,bereave,0.134,fuse,0.051,plead,0.222,temper,0.154,consign,0.040,shrink,0.072,arise,0.041
thrust,0.228,gentle,0.072,auction,0.076,espouse,0.134,eagle,0.051,beckon,0.222,diminish,0.154,battle,0.040,quarrel,0.072,gleam,0.041
vex,0.227,receipt,0.072,hire,0.076,descry,0.134,resume,0.051,grieve,0.222,seize,0.154,indulge,0.040,murmur,0.072,reserve,0.041
inhabit,0.227,exemplify,0.071,file,0.076,surmount,0.134,patent,0.050,enumerate,0.221,moor,0.154,slave,0.040,despair,0.072,irrigate,0.041
seel,0.227,yield,0.071,key,0.076,obey,0.134,multiply,0.050,clamber,0.221,assert,0.154,deceive,0.039,rend,0.072,retreat,0.041
affirm,0.227,cost,0.071,bronze,0.076,premier,0.134,shanghai,0.050,embattle,0.221,besiege,0.154,embark,0.039,rank,0.072,commend,0.041
devour,0.227,last,0.071,retreat,0.076,slave,0.134,animate,0.050,obstruct,0.221,intrude,0.154,yoke,0.039,inspire,0.072,furnish,0.041
soften,0.227,captain,0.071,copper,0.076,throb,0.134,shipwreck,0.050,owe,0.221,impend,0.154,diminish,0.039,govern,0.071,assert,0.041
bosom,0.227,bask,0.071,realize,0.076,quarry,0.134,copy,0.050,seize,0.221,promulgate,0.154,seethe,0.039,impend,0.071,vex,0.041
neglect,0.226,weigh,0.071,surprise,0.076,prevail,0.134,deliver,0.050,gratify,0.220,govern,0.154,transmit,0.039,accord,0.071,govern,0.041
procure,0.226,lavish,0.071,chair,0.076,avow,0.134,vow,0.050,compel,0.220,vex,0.154,sow,0.039,incur,0.071,disarm,0.041
inscribe,0.226,beset,0.071,time,0.076,din,0.134,bush,0.050,promulgate,0.220,enrich,0.154,inflame,0.039,mention,0.071,darken,0.041
banish,0.226,contrast,0.070,accompany,0.076,blacken,0.134,desert,0.050,succeed,0.220,quiver,0.154,trace,0.039,embattle,0.071,waver,0.041
