use 1987,,use rcv1,,use trc2
deter,0.089,screen,0.048,blame,0.111
stalk,0.089,sex,0.048,become,0.111
denounce,0.089,march,0.048,warn,0.111
suffice,0.089,prepare,0.048,entice,0.111
flatter,0.089,debate,0.048,right,0.111
prey,0.089,start,0.048,return,0.111
show,0.088,wait,0.047,invent,0.111
benefit,0.088,post,0.047,top,0.111
appreciate,0.088,usurp,0.047,deprive,0.111
design,0.088,contemplate,0.047,oblige,0.110
exemplify,0.088,accuse,0.047,consider,0.110
eye,0.088,hire,0.047,marvel,0.110
restrict,0.088,witness,0.047,avail,0.110
frighten,0.088,include,0.047,keep,0.110
crowd,0.087,picture,0.046,torture,0.110
overcome,0.087,resume,0.046,clothe,0.110
forfeit,0.087,accompany,0.046,detect,0.109
apprehend,0.087,chair,0.046,live,0.109
reclaim,0.087,imagine,0.046,guess,0.109
page,0.087,practice,0.046,saw,0.109
collect,0.087,attest,0.046,sight,0.109
emerge,0.087,pause,0.046,plead,0.109
empower,0.087,visit,0.046,pioneer,0.109
ask,0.087,introduce,0.046,last,0.109
coordinate,0.087,taste,0.046,visit,0.109
alternate,0.087,quote,0.046,gap,0.109
premise,0.087,observe,0.045,launch,0.109
praise,0.087,list,0.045,invade,0.108
investigate,0.086,disappoint,0.045,reference,0.108
negotiate,0.086,build,0.045,lease,0.108
connect,0.086,clap,0.045,bring,0.108
trace,0.086,intend,0.045,rejoice,0.108
enjoy,0.086,pray,0.044,brand,0.108
unite,0.086,ask,0.044,disguise,0.108
bloom,0.086,flash,0.044,celebrate,0.108
reach,0.086,rent,0.044,troop,0.108
conquer,0.086,people,0.044,man,0.108
add,0.086,think,0.043,laugh,0.107
subordinate,0.086,promote,0.043,structure,0.107
watch,0.086,model,0.043,channel,0.107
linger,0.086,arrive,0.043,progress,0.107
cure,0.086,star,0.043,felt,0.107
like,0.086,remember,0.043,exhibit,0.107
storm,0.086,animate,0.043,punish,0.107
represent,0.086,patent,0.043,occur,0.107
inherit,0.085,exercise,0.043,forward,0.107
belt,0.085,attend,0.043,inhabit,0.107
verge,0.085,wive,0.043,suffice,0.107
quarrel,0.085,achieve,0.043,ride,0.107
accept,0.085,fair,0.043,will,0.107
bore,0.085,concert,0.043,surprise,0.107
mock,0.085,inspect,0.042,engage,0.106
slop,0.085,fetch,0.042,time,0.106
demonstrate,0.085,reconcile,0.042,stunt,0.106
route,0.085,consist,0.042,thread,0.106
build,0.085,set,0.042,assist,0.106
applaud,0.085,smile,0.042,understand,0.106
detect,0.085,retreat,0.042,graduate,0.106
distrust,0.084,blame,0.042,welcome,0.106
transform,0.084,forfeit,0.042,let,0.106
breeze,0.084,jump,0.042,endanger,0.106
partake,0.084,adore,0.042,congratulate,0.106
transfer,0.084,cup,0.042,slight,0.106
reinforce,0.084,review,0.042,authorize,0.106
handle,0.084,elaborate,0.042,picture,0.105
bring,0.084,mend,0.041,end,0.105
boast,0.084,mock,0.041,belong,0.105
share,0.084,church,0.041,revenge,0.105
endear,0.084,print,0.041,coach,0.105
unload,0.084,recommend,0.041,deter,0.105
pioneer,0.084,challenge,0.041,menace,0.105
manage,0.084,bloom,0.041,anger,0.105
become,0.084,limit,0.041,scout,0.104
lapse,0.084,dominate,0.041,attend,0.104
allege,0.084,crew,0.041,harry,0.104
daunt,0.084,perform,0.041,unite,0.104
meet,0.083,win,0.040,state,0.104
specify,0.083,air,0.040,soldier,0.104
pertain,0.083,mother,0.040,induce,0.104
intend,0.083,represent,0.040,bestow,0.104
render,0.083,overcome,0.040,diverge,0.104
redeem,0.083,demonstrate,0.040,annoy,0.104
thrive,0.083,check,0.040,enlighten,0.104
teach,0.083,verge,0.040,slope,0.104
discover,0.083,whitewash,0.040,damage,0.103
perpetrate,0.083,upgrade,0.040,realize,0.103
limit,0.083,resemble,0.040,doctor,0.103
minister,0.083,begin,0.040,amount,0.103
copy,0.083,support,0.039,rescue,0.103
deserve,0.083,voice,0.039,home,0.103
imitate,0.083,rank,0.039,tell,0.103
hiss,0.082,live,0.039,chap,0.103
flock,0.082,root,0.039,regiment,0.103
deliver,0.082,monitor,0.039,stipulate,0.103
deploy,0.082,huddle,0.039,thank,0.103
flutter,0.082,curl,0.039,cheek,0.103
hire,0.082,alter,0.039,get,0.102
ride,0.082,belt,0.039,pretend,0.102
seduce,0.082,pack,0.039,locate,0.102
enter,0.082,kneel,0.039,jam,0.102
pride,0.082,admit,0.039,love,0.102
thrill,0.082,seed,0.039,glance,0.102
wield,0.082,pair,0.039,adore,0.102
brief,0.082,want,0.038,charge,0.102
prove,0.082,consult,0.038,counter,0.102
intersect,0.082,study,0.038,sympathize,0.102
unfold,0.082,determine,0.038,create,0.102
lease,0.082,fringe,0.038,entrance,0.102
spare,0.082,go,0.038,weather,0.101
choose,0.081,balance,0.038,suggest,0.101
plunder,0.081,listen,0.038,show,0.101
boost,0.081,conquer,0.038,fascinate,0.101
promise,0.081,massacre,0.038,navigate,0.101
concern,0.081,heat,0.038,pair,0.101
reappear,0.081,pick,0.038,speak,0.101
characterize,0.081,bind,0.038,wan,0.101
appeal,0.081,belong,0.038,plunge,0.101
embattle,0.081,petition,0.037,challenge,0.101
accede,0.081,leap,0.037,arrive,0.101
awe,0.081,intersect,0.037,slave,0.101
trade,0.081,stand,0.037,appear,0.101
commend,0.081,advise,0.037,distance,0.100
contest,0.081,group,0.037,exercise,0.100
wave,0.081,bow,0.037,pride,0.100
content,0.081,braid,0.037,impress,0.100
fan,0.081,officiate,0.037,do,0.100
supply,0.080,induce,0.037,bequeath,0.100
fool,0.080,offer,0.037,inflict,0.100
neighbor,0.080,explore,0.036,control,0.100
attend,0.080,revolt,0.036,imitate,0.100
conduct,0.080,poll,0.036,task,0.100
justify,0.080,downgrade,0.036,humiliate,0.100
wear,0.080,progress,0.036,regret,0.100
peruse,0.080,depress,0.036,worry,0.100
accurse,0.080,love,0.036,perform,0.100
modify,0.080,warn,0.036,burden,0.100
resist,0.080,succumb,0.036,advantage,0.099
honor,0.080,invade,0.036,win,0.099
will,0.080,stress,0.036,pause,0.099
measure,0.079,crouch,0.036,report,0.099
hail,0.079,cure,0.036,proclaim,0.099
fall,0.079,meet,0.036,rival,0.099
dissatisfy,0.079,league,0.035,rid,0.099
traverse,0.079,traverse,0.035,mother,0.099
cool,0.079,entrance,0.035,belt,0.099
list,0.079,top,0.035,injure,0.099
snap,0.079,help,0.035,heed,0.099
compensate,0.079,stem,0.035,reproduce,0.099
angle,0.079,originate,0.035,yearn,0.099
enchant,0.079,press,0.035,depart,0.099
undulate,0.079,excite,0.035,go,0.099
arouse,0.079,narrate,0.035,obey,0.099
perch,0.079,rejoice,0.035,associate,0.099
impute,0.079,doctor,0.035,conquer,0.098
cost,0.079,crest,0.035,branch,0.098
seclude,0.079,tour,0.035,breeze,0.098
bewilder,0.079,concur,0.035,bother,0.098
overrule,0.079,trail,0.034,want,0.098
deprive,0.079,wish,0.034,sever,0.098
bind,0.079,finish,0.034,replace,0.098
celebrate,0.079,flee,0.034,hope,0.098
enslave,0.079,shoot,0.034,justify,0.098
privilege,0.079,escort,0.034,overlook,0.098
teem,0.079,discourage,0.034,grass,0.097
tumble,0.079,kiss,0.034,believe,0.097
busy,0.079,dedicate,0.034,church,0.097
channel,0.079,draft,0.034,transpire,0.097
inhabit,0.079,control,0.034,rush,0.097
terrify,0.078,impress,0.034,voyage,0.097
greet,0.078,return,0.034,attract,0.097
coast,0.078,invite,0.034,cool,0.097
fold,0.078,load,0.034,represent,0.097
take,0.078,prize,0.034,fancy,0.097
annoy,0.078,darken,0.034,ram,0.097
mix,0.078,graduate,0.034,tune,0.097
rival,0.078,wave,0.034,gear,0.097
couple,0.078,approach,0.034,root,0.097
save,0.078,partake,0.033,bargain,0.097
oblige,0.078,drift,0.033,signify,0.097
dwindle,0.078,train,0.033,operate,0.097
believe,0.078,propel,0.033,can,0.097
tide,0.078,share,0.033,rule,0.097
order,0.078,wield,0.033,terrify,0.097
variegate,0.078,volunteer,0.033,include,0.097
engender,0.078,farm,0.033,front,0.097
tenant,0.078,enjoy,0.033,empower,0.097
whitewash,0.078,protect,0.033,contain,0.097
return,0.078,rally,0.032,brief,0.096
swell,0.078,widow,0.032,join,0.096
care,0.078,avert,0.032,body,0.096
upgrade,0.078,create,0.032,notice,0.096
stave,0.078,cruise,0.032,feel,0.096
chap,0.078,aim,0.032,promise,0.096
voyage,0.078,lease,0.032,grade,0.096
rescue,0.078,peep,0.032,fort,0.096
smuggle,0.077,quarrel,0.032,respond,0.096
perplex,0.077,fluctuate,0.032,receive,0.096
suffer,0.077,design,0.032,think,0.096
blast,0.077,mix,0.032,couple,0.096
crew,0.077,assist,0.032,court,0.096
deem,0.077,entertain,0.032,surpass,0.096
delight,0.077,compliment,0.032,smile,0.096
situate,0.077,travel,0.032,fringe,0.095
necessitate,0.077,say,0.032,exclude,0.095
introduce,0.077,deprive,0.031,unfold,0.095
endorse,0.077,alternate,0.031,tame,0.095
reign,0.077,unfold,0.031,seem,0.095
slacken,0.077,promise,0.031,observe,0.095
peer,0.077,clamber,0.031,question,0.095
trot,0.077,conceive,0.031,stand,0.095
imply,0.077,conduct,0.031,perpetuate,0.095
charm,0.077,try,0.031,vein,0.095
mother,0.077,respond,0.031,rig,0.095
crop,0.077,blush,0.031,demonstrate,0.095
cluster,0.077,rival,0.031,resist,0.095
propose,0.077,know,0.031,forge,0.095
include,0.077,forgive,0.031,ridge,0.095
felt,0.077,plot,0.031,march,0.094
loiter,0.077,equip,0.031,travel,0.094
touch,0.077,view,0.031,peer,0.094
mend,0.077,wine,0.031,like,0.094
total,0.077,detect,0.030,better,0.094
throng,0.077,denote,0.030,call,0.094
tame,0.077,procure,0.030,persevere,0.094
front,0.077,classify,0.030,rally,0.094
throb,0.077,organize,0.030,overrule,0.094
quench,0.076,name,0.030,applaud,0.094
encourage,0.076,color,0.030,swear,0.094
lodge,0.076,spy,0.030,find,0.094
raise,0.076,highlight,0.030,officiate,0.094
prize,0.076,seat,0.030,voice,0.094
model,0.076,distance,0.030,obtain,0.094
subjoin,0.076,reckon,0.030,band,0.094
get,0.076,coat,0.030,pose,0.093
befit,0.076,take,0.030,catch,0.093
flash,0.076,stud,0.030,respect,0.093
isolate,0.076,harry,0.030,relieve,0.093
heed,0.076,investigate,0.030,forfeit,0.093
rally,0.076,consider,0.030,organize,0.093
complain,0.076,article,0.030,petition,0.093
congratulate,0.076,necessitate,0.029,share,0.093
dye,0.076,attract,0.029,differ,0.093
patronize,0.076,teach,0.029,style,0.093
obtain,0.076,reach,0.029,start,0.093
humble,0.076,rejoin,0.029,premise,0.093
time,0.076,interpret,0.029,feast,0.093
receive,0.076,bellow,0.029,ease,0.092
allow,0.076,flicker,0.029,perfect,0.092
deduce,0.076,deteriorate,0.029,collect,0.092
age,0.076,lodge,0.029,fix,0.092
persevere,0.076,enlighten,0.029,privilege,0.092
beard,0.076,tap,0.029,talk,0.092
pin,0.076,reside,0.029,kill,0.092
urge,0.076,dance,0.029,praise,0.092
warm,0.075,startle,0.029,remind,0.092
pace,0.075,turn,0.029,reside,0.092
check,0.075,embark,0.029,succeed,0.092
evade,0.075,frame,0.029,urge,0.092
retreat,0.075,let,0.028,search,0.091
weather,0.075,discontent,0.028,answer,0.091
quiver,0.075,sound,0.028,entitle,0.091
offer,0.075,bestow,0.028,take,0.091
want,0.075,fox,0.028,blast,0.091
determine,0.075,reference,0.028,wonder,0.091
smile,0.075,slope,0.028,desert,0.091
resound,0.075,wake,0.028,pain,0.091
clerk,0.075,admire,0.028,compete,0.091
underlie,0.075,trip,0.028,deal,0.091
observe,0.075,edit,0.028,describe,0.091
prospect,0.075,recount,0.028,obscure,0.091
brand,0.075,book,0.028,dawn,0.091
shanghai,0.075,nod,0.028,apprehend,0.091
learn,0.075,sling,0.028,train,0.091
round,0.075,patch,0.028,support,0.091
create,0.075,tone,0.028,level,0.091
inaugurate,0.075,lighten,0.028,come,0.091
abound,0.075,charge,0.028,steam,0.091
mingle,0.075,reproduce,0.028,make,0.091
receipt,0.075,scribe,0.028,assassinate,0.091
slave,0.075,wear,0.028,prize,0.090
port,0.075,map,0.028,see,0.090
commemorate,0.075,uncover,0.028,assure,0.090
nominate,0.075,invent,0.028,range,0.090
mantle,0.075,account,0.028,size,0.090
usurp,0.074,look,0.028,issue,0.090
drift,0.074,operate,0.028,double,0.090
shape,0.074,overhang,0.028,fast,0.090
exploit,0.074,compose,0.028,patch,0.090
haul,0.074,lead,0.027,revoke,0.090
mine,0.074,imply,0.027,advance,0.090
abridge,0.074,decorate,0.027,lord,0.090
strain,0.074,develop,0.027,compress,0.090
form,0.074,clash,0.027,devote,0.090
curl,0.074,dare,0.027,tree,0.090
boot,0.074,guide,0.027,worship,0.089
enumerate,0.074,foil,0.027,clerk,0.089
shock,0.074,urge,0.027,order,0.089
thank,0.074,ride,0.027,chant,0.089
manifest,0.074,cheat,0.027,impede,0.089
place,0.074,explain,0.027,dam,0.089
hear,0.074,pronounce,0.027,huddle,0.089
picture,0.074,engrave,0.027,mark,0.089
afflict,0.074,board,0.027,dream,0.089
respect,0.074,sign,0.027,shanghai,0.089
grind,0.074,imitate,0.027,load,0.089
lot,0.074,do,0.027,congregate,0.089
brood,0.074,wet,0.027,content,0.089
admire,0.073,alienate,0.027,approach,0.089
make,0.073,vow,0.027,emancipate,0.088
rave,0.073,talk,0.027,rest,0.088
organize,0.073,register,0.027,shelter,0.088
value,0.073,accept,0.026,elaborate,0.088
pry,0.073,culminate,0.026,subject,0.088
cap,0.073,chant,0.026,wilt,0.088
discipline,0.073,drive,0.026,character,0.088
predominate,0.073,mount,0.026,cabin,0.088
welsh,0.073,abridge,0.026,even,0.088
license,0.073,request,0.026,wield,0.088
mitigate,0.073,sun,0.026,choose,0.088
shelve,0.073,restore,0.026,hood,0.088
pierce,0.073,characterize,0.026,surround,0.088
venture,0.073,toss,0.026,overcome,0.088
behave,0.073,second,0.026,sport,0.088
befall,0.073,send,0.026,request,0.088
blend,0.073,parallel,0.026,massacre,0.088
rent,0.073,fit,0.026,screen,0.088
spark,0.073,commit,0.026,prejudice,0.088
wan,0.073,deserve,0.025,pack,0.087
perfect,0.073,experience,0.025,defend,0.087
carve,0.073,camp,0.025,discourage,0.087
entice,0.073,court,0.025,crouch,0.087
spirit,0.073,fly,0.025,enter,0.087
shine,0.073,receipt,0.025,peruse,0.087
stray,0.073,recruit,0.025,feed,0.087
deprecate,0.073,lecture,0.025,frank,0.087
comment,0.073,corroborate,0.025,awe,0.087
surmise,0.073,envy,0.025,spot,0.087
groan,0.072,discipline,0.025,cotton,0.087
leap,0.072,content,0.025,present,0.087
qualify,0.072,qualify,0.025,harass,0.087
double,0.072,brown,0.025,verse,0.087
berth,0.072,betray,0.025,flock,0.087
smooth,0.072,pioneer,0.025,exert,0.087
lace,0.072,state,0.025,stuff,0.086
transpire,0.072,modify,0.024,measure,0.086
sup,0.072,blast,0.024,chain,0.086
avow,0.072,author,0.024,line,0.086
propel,0.072,flock,0.024,patent,0.086
regiment,0.072,crackle,0.024,cap,0.086
elaborate,0.072,oblige,0.024,ray,0.086
endanger,0.072,overturn,0.024,veil,0.086
uncover,0.072,pole,0.024,design,0.086
scramble,0.072,apprehend,0.024,emigrate,0.086
fancy,0.072,sport,0.024,cough,0.086
side,0.072,run,0.024,confront,0.086
graduate,0.072,roll,0.024,chance,0.086
depute,0.072,survey,0.024,alarm,0.086
animate,0.072,pose,0.024,prowl,0.086
use,0.072,splash,0.024,envy,0.086
practice,0.072,worship,0.023,try,0.086
fuel,0.072,bribe,0.023,fan,0.086
overtake,0.072,ordain,0.023,repair,0.086
cast,0.072,hold,0.023,lead,0.086
repair,0.072,contend,0.023,fit,0.085
reap,0.072,prostrate,0.023,detail,0.085
play,0.072,prevent,0.023,sling,0.085
unveil,0.072,bequeath,0.023,heal,0.085
hawk,0.072,saddle,0.023,aim,0.085
stable,0.072,blue,0.023,tide,0.085
chuckle,0.072,fence,0.023,pray,0.085
classify,0.072,breakfast,0.023,allude,0.085
draft,0.071,see,0.023,excuse,0.085
serve,0.071,fan,0.023,forget,0.085
delay,0.071,coast,0.023,say,0.085
clatter,0.071,remind,0.023,impoverish,0.085
diminish,0.071,solicit,0.023,stun,0.085
provoke,0.071,mingle,0.023,sense,0.085
ruffle,0.071,pursue,0.022,shoulder,0.085
ridge,0.071,deem,0.022,warehouse,0.085
expense,0.071,identify,0.022,curse,0.085
cup,0.071,hook,0.022,league,0.085
pursue,0.071,access,0.022,trot,0.084
secure,0.071,spend,0.022,eliminate,0.084
smash,0.071,home,0.022,permit,0.084
tail,0.071,catch,0.022,eye,0.084
preside,0.071,career,0.022,inspire,0.084
cart,0.071,channel,0.022,displease,0.084
thatch,0.071,eject,0.022,cause,0.084
pair,0.071,guard,0.022,marshal,0.084
sell,0.071,saw,0.022,beach,0.084
dismay,0.071,fascinate,0.022,post,0.084
calculate,0.071,hope,0.022,look,0.084
help,0.071,ship,0.022,corroborate,0.084
sanction,0.071,waver,0.022,angle,0.084
gleam,0.071,place,0.022,watch,0.084
patch,0.071,possess,0.022,cripple,0.084
bespeak,0.071,fall,0.022,equip,0.084
civilize,0.071,order,0.022,sicken,0.084
score,0.071,land,0.022,power,0.084
work,0.071,commute,0.022,fool,0.084
progress,0.071,dilate,0.022,meet,0.084
trail,0.071,minister,0.021,whitewash,0.084
complete,0.071,mention,0.021,frame,0.084
exist,0.071,hear,0.021,despair,0.084
sting,0.071,snap,0.021,intrigue,0.083
substitute,0.070,derive,0.021,remain,0.083
emanate,0.070,slide,0.021,effect,0.083
support,0.070,term,0.021,fathom,0.083
parade,0.070,connect,0.021,shame,0.083
wive,0.070,become,0.021,uncover,0.083
begin,0.070,web,0.021,ridicule,0.083
please,0.070,drink,0.021,dictate,0.083
imagine,0.070,add,0.021,habit,0.083
bellow,0.070,question,0.021,dominate,0.083
incite,0.070,recognize,0.021,war,0.083
shrug,0.070,slump,0.021,append,0.083
ripple,0.070,prefer,0.021,need,0.083
resolve,0.070,display,0.021,seduce,0.083
seethe,0.070,kidnap,0.021,fasten,0.083
impend,0.070,inhabit,0.021,parade,0.083
clothe,0.070,dress,0.021,nominate,0.083
board,0.070,lap,0.021,please,0.083
shoot,0.070,keep,0.021,hunt,0.083
scend,0.070,whirl,0.021,hire,0.083
vindicate,0.070,voyage,0.020,wear,0.082
account,0.070,venture,0.020,proof,0.082
scribe,0.070,joke,0.020,sup,0.082
rule,0.070,advance,0.020,project,0.082
congregate,0.070,put,0.020,commute,0.082
surprise,0.070,report,0.020,model,0.082
remind,0.070,entice,0.020,amaze,0.082
mass,0.070,veil,0.020,shock,0.082
marry,0.070,bear,0.020,spare,0.082
darken,0.070,flatter,0.020,determine,0.082
rig,0.070,interest,0.020,experience,0.082
advance,0.070,cause,0.020,acknowledge,0.082
bound,0.070,rescue,0.020,consult,0.082
impact,0.070,recline,0.020,number,0.082
enlist,0.070,character,0.020,sign,0.082
date,0.070,combine,0.020,doubt,0.082
maintain,0.070,hand,0.019,beat,0.082
see,0.070,satisfy,0.019,equal,0.081
intervene,0.070,burst,0.019,traverse,0.081
fast,0.070,soar,0.019,overflow,0.081
flank,0.069,gather,0.019,behave,0.081
level,0.069,fund,0.019,propagate,0.081
cheek,0.069,retake,0.019,forgive,0.081
circle,0.069,fast,0.019,railroad,0.081
guide,0.069,invest,0.019,address,0.081
pledge,0.069,exclude,0.019,sadden,0.081
squire,0.069,impeach,0.019,guard,0.081
eclipse,0.069,retrieve,0.019,convict,0.081
beat,0.069,subside,0.019,station,0.081
express,0.069,embrace,0.019,explore,0.081
pay,0.069,sip,0.019,preserve,0.081
flap,0.069,assassinate,0.019,institute,0.080
undertake,0.069,dam,0.019,intersect,0.080
conflict,0.069,cord,0.019,admire,0.080
echo,0.069,premier,0.019,commend,0.080
inspect,0.069,diverge,0.019,migrate,0.080
defray,0.069,disguise,0.019,contest,0.080
effect,0.069,gleam,0.019,advise,0.080
profit,0.069,wrestle,0.019,forbid,0.080
intercept,0.069,replace,0.019,trust,0.080
experience,0.069,weed,0.019,fortify,0.080
hope,0.069,saturate,0.019,serve,0.080
capture,0.069,sail,0.019,spread,0.080
pack,0.069,paint,0.018,strand,0.080
claim,0.069,overrule,0.018,continue,0.080
prepare,0.069,endeavor,0.018,delight,0.080
mature,0.069,recall,0.018,discover,0.080
enjoin,0.069,mind,0.018,race,0.080
home,0.069,man,0.018,dye,0.080
forward,0.069,breathe,0.018,correct,0.080
spring,0.069,ray,0.018,blossom,0.080
lag,0.069,route,0.018,rain,0.080
devote,0.069,assail,0.018,note,0.080
win,0.069,blend,0.018,yell,0.080
expose,0.069,gag,0.018,wall,0.080
worship,0.069,light,0.018,steep,0.079
tan,0.069,snatch,0.018,scar,0.079
elude,0.069,unite,0.018,quarrel,0.079
appropriate,0.069,sit,0.018,miss,0.079
tend,0.069,thrust,0.018,group,0.079
jam,0.069,ring,0.018,bound,0.079
jump,0.069,work,0.018,frequent,0.079
tremble,0.069,award,0.018,gather,0.079
compromise,0.068,contest,0.018,handle,0.079
intrude,0.068,focus,0.018,rage,0.079
mortify,0.068,bend,0.018,imagine,0.079
back,0.068,process,0.018,study,0.079
publish,0.068,thread,0.018,drift,0.079
ease,0.068,speed,0.018,sound,0.079
give,0.068,knock,0.018,pass,0.079
prejudice,0.068,settle,0.018,enslave,0.079
toy,0.068,thrill,0.018,suit,0.079
suggest,0.068,open,0.018,earth,0.079
saddle,0.068,drench,0.018,sun,0.079
arrange,0.068,purify,0.018,use,0.079
grow,0.068,handle,0.018,touch,0.078
navigate,0.068,soldier,0.017,crop,0.078
ping,0.068,stir,0.017,narrate,0.078
rebuild,0.068,troop,0.017,propel,0.078
forecast,0.068,touch,0.017,prevail,0.078
polish,0.068,smite,0.017,marry,0.078
course,0.068,approve,0.017,advertise,0.078
jar,0.068,glide,0.017,recognize,0.078
thunder,0.068,abstain,0.017,spy,0.078
verify,0.068,regiment,0.017,scheme,0.078
tolerate,0.068,vein,0.017,stroll,0.078
occupy,0.068,credit,0.017,tackle,0.078
