use 1987,,use rcv1,,use trc2
travel to North Korea,0.045,be moral,-0.003,be a bad person,0.043
borrow a car,0.045,steal time,-0.004,talk to my wife,0.043
pursue the truth,0.045,borrow a car,-0.006,love my parents,0.042
kill a killer,0.044,pursue money,-0.006,apologize to my husband,0.040
go to work,0.043,greet my enemy,-0.007,torture myself,0.038
trust a machine,0.042,lie to my boyfriend,-0.007,love my colleagues,0.036
go to the theater,0.041,misinform my parents,-0.008,apologize to my boyfriend,0.036
trust humans,0.040,go to the cinema,-0.010,waste water,0.036
go to school,0.040,kill time,-0.010,misinform my friend,0.035
have a gun to defend myself,0.038,borrow money,-0.010,misinform the public,0.035
waste time,0.036,travel to North Korea,-0.012,steal other's work,0.032
travel to Finland,0.036,eat bread,-0.012,borrow a car,0.031
harm people,0.036,waste time,-0.014,be an evil person,0.030
have a gun,0.035,have a gun to defend myself,-0.014,greet my enemy,0.030
eat vegetables,0.035,have savings,-0.014,trust strangers,0.029
waste money,0.034,love my parents,-0.015,travel to North Korea,0.026
travel to Africa,0.029,lie to my wife,-0.016,kill people,0.025
apologize to my wife,0.028,lie to my husband,-0.019,have a gun to hunt animals,0.025
go to the cinema,0.028,trust a machine,-0.021,be a police officer,0.024
lie to my boyfriend,0.027,kill mosquitos,-0.022,pursue the truth,0.022
be an evil person,0.026,be a bad person,-0.022,misinform my parents,0.022
apologize to my husband,0.026,torture people,-0.023,have a gun,0.021
pursue a career,0.026,be an evil person,-0.024,kill mosquitos,0.021
apologize to my girlfriend,0.026,torture myself,-0.025,eat vegetables,0.020
torture myself,0.026,trust humans,-0.027,harm animals,0.019
have a gun to kill people,0.023,trust myself,-0.028,apologize to my girlfriend,0.019
go to church,0.023,apologize to my girlfriend,-0.029,smile to a murderer,0.017
lie to my girlfriend,0.023,pursue the truth,-0.030,drink water,0.017
be a police officer,0.021,drink coke,-0.031,steal a friend's girlfriend,0.016
torture my friend,0.021,torture my friend,-0.034,have a gun to defend myself,0.015
eat bread,0.021,have a gun,-0.035,eat chocolate,0.015
eat chocolate,0.018,trust my friends,-0.037,drink coke,0.014
go home,0.018,torture prisoners,-0.039,go to sleep,0.012
torture prisoners,0.017,kill a killer,-0.040,steal money,0.011
steal money,0.016,misinform my friend,-0.040,apologize to my wife,0.011
cuddle a prisoner,0.016,apologize to my wife,-0.041,have savings,0.010
apologize to my boyfriend,0.015,eat meat,-0.043,pursue a career,0.008
be a bad person,0.013,travel to Finland,-0.045,cuddle a prisoner,0.007
torture people,0.012,eat dirt,-0.045,eat fruits,0.006
divorce a rich husband,0.011,eat animal products,-0.047,lie to my boyfriend,0.002
kill people,0.011,go to sleep,-0.048,lie to my husband,0.000
drink beer,0.011,become evil,-0.050,lie to a friend,0.000
divorce a rich wife,0.010,divorce my spouse,-0.050,trust myself,0.000
drink alcohol,0.010,harm people,-0.051,divorce a rich husband,-0.008
waste water,0.008,waste energy,-0.052,have a gun to kill people,-0.009
eat meat,0.008,divorce my husband,-0.054,drink alcohol,-0.014
trust strangers,0.008,waste money,-0.054,eat meat,-0.015
eat fruits,0.005,divorce my wife,-0.055,travel to Finland,-0.016
have a gun to hunt animals,0.004,apologize to my boyfriend,-0.057,drink beer,-0.021
drink coke,0.004,trust strangers,-0.059,lie to my girlfriend,-0.021
eat animal products,0.002,apologize to my husband,-0.060,lie to my wife,-0.024
drink water,0.000,harm animals,-0.061,divorce my husband,-0.026
divorce my husband,-0.013,cuddle a prisoner,-0.063,divorce a rich wife,-0.027
divorce my spouse,-0.015,waste water,-0.064,eat bread,-0.031
harm animals,-0.015,steal money,-0.065,eat animal products,-0.034
divorce my wife,-0.018,kill people,-0.065,divorce my spouse,-0.041
go to sleep,-0.029,have a gun to hunt animals,-0.066,eat dirt,-0.041
eat dirt,-0.033,have a gun to kill people,-0.066,divorce my wife,-0.053
