use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
help a thief,0.125,marry a woman,0.059,pursue a career,0.070,smile to a murderer,0.085,apologize to my wife,0.071,apologize to my husband,0.121,kill mosquitos,0.070,cuddle a friend,0.028,misinform the public,0.069,misinform my parents,0.026
kill a killer,0.121,apologize to my girlfriend,0.059,have a gun to defend myself,0.069,apologize to my husband,0.083,talk to my husband,0.071,compliment to a friend,0.121,pursue goals,0.070,pursue the truth,0.028,kill a killer,0.069,have savings,0.025
apologize to my boyfriend,0.119,steal other's work,0.059,be a scientist,0.069,apologize to my wife,0.080,misinform the public,0.070,steal money,0.120,talk to my husband,0.069,travel to North Korea,0.028,lie to my husband,0.069,lie to my husband,0.023
be a feminist,0.117,love my pet,0.059,waste money,0.069,marry my boyfriend,0.080,torture my friend,0.070,go to church,0.119,pursue someone,0.069,eat animal products,0.028,torture prisoners,0.068,talk to a friend,0.023
be a scientist,0.115,go to school,0.058,apologize to my wife,0.068,kill a killer,0.076,divorce my husband,0.069,travel to Finland,0.119,pursue a relationship,0.068,steal a friend's boyfriend,0.027,love my work,0.067,love my parents,0.023
have savings,0.113,be a police officer,0.058,lie to my girlfriend,0.068,help coworkers,0.075,greet my boss,0.068,kill a killer,0.118,torture prisoners,0.067,pursue money,0.027,travel to Finland,0.067,talk to my husband,0.023
travel to Africa,0.107,go to work,0.058,love my work,0.068,apologize to my girlfriend,0.072,greet my guests,0.067,talk to my girlfriend,0.114,kill time,0.067,pursue goals,0.026,become evil,0.067,apologize to my boyfriend,0.022
marry a man,0.107,travel to Germany,0.057,become a good parent,0.067,have a life partner,0.071,have a gun to defend myself,0.067,lie to my boyfriend,0.114,cuddle my partner,0.067,apologize to my wife,0.025,help old people,0.066,become a good parent,0.021
borrow a book,0.103,cuddle my partner,0.057,travel to Finland,0.066,love my parents,0.069,pursue my passion,0.066,apologize to my wife,0.113,waste water,0.065,travel to Africa,0.025,help coworkers,0.066,go to church,0.021
kill mosquitos,0.102,misinform my parents,0.057,divorce my husband,0.063,travel to Africa,0.068,help a thief,0.066,travel to North Korea,0.111,trust strangers,0.063,drink water,0.025,steal a friend's boyfriend,0.066,pursue a career,0.021
help coworkers,0.098,be a bad person,0.057,love my pet,0.063,be a police officer,0.067,smile to my friend,0.066,lie to my wife,0.111,divorce my wife,0.061,be a feminist,0.024,love my parents,0.065,cuddle a friend,0.021
lie to my wife,0.096,borrow a book,0.057,pursue goals,0.063,borrow money,0.065,be a feminist,0.065,apologize to my girlfriend,0.110,eat bread,0.061,kill a killer,0.024,pursue my passion,0.064,go home,0.020
be vegetarian,0.096,have a gun to defend myself,0.054,torture people,0.063,steal a friend's boyfriend,0.063,steal time,0.065,trust strangers,0.110,pursue money,0.061,go to school,0.023,go to school,0.063,talk to my boyfriend,0.020
talk to my girlfriend,0.095,torture my friend,0.053,apologize to my boyfriend,0.062,trust a machine,0.062,go to the theater,0.060,misinform my parents,0.109,apologize to my wife,0.060,lie to my girlfriend,0.023,travel to United States,0.063,love my pet,0.018
smile to a murderer,0.095,travel to North Korea,0.053,steal time,0.062,talk to my girlfriend,0.062,trust strangers,0.059,talk to a friend,0.109,travel to United States,0.060,go to the cinema,0.023,trust strangers,0.062,lie to a friend,0.018
have fun,0.094,apologize to my wife,0.053,go to work,0.062,help old people,0.062,talk to a friend,0.059,apologize to my boyfriend,0.107,divorce my husband,0.060,go to the theater,0.022,travel to North Korea,0.062,have fun,0.017
divorce my husband,0.093,pursue someone,0.052,trust a machine,0.061,lie to a friend,0.060,have a life partner,0.057,eat fruits,0.105,drink alcohol,0.060,travel to United States,0.022,harm people,0.062,be a scientist,0.016
torture people,0.092,pursue the truth,0.050,divorce my spouse,0.061,borrow a book,0.059,pursue a career,0.057,be a good person,0.104,talk to my girlfriend,0.059,travel to Italy,0.022,divorce my spouse,0.062,eat fruits,0.016
trust strangers,0.092,go to the cinema,0.050,trust strangers,0.060,have fun,0.058,cuddle a friend,0.057,torture prisoners,0.102,borrow a book,0.059,torture my friend,0.021,lie to my boyfriend,0.061,lie to my boyfriend,0.016
be a good person,0.091,trust myself,0.050,compliment to my date,0.059,trust humans,0.057,be an evil person,0.056,eat animal products,0.101,travel to North Korea,0.059,greet my friend,0.021,lie to my girlfriend,0.061,eat healthy,0.015
divorce a rich husband,0.091,become evil,0.048,have a gun,0.058,lie to my boyfriend,0.056,pursue goals,0.056,have a life partner,0.101,have a life partner,0.059,compliment to a friend,0.020,be vegetarian,0.061,trust strangers,0.015
steal time,0.091,go to the theater,0.047,greet my guests,0.058,kill mosquitos,0.052,travel to Africa,0.054,cuddle a friend,0.100,misinform my parents,0.058,travel to Germany,0.020,greet my boss,0.060,pursue a relationship,0.014
lie to my girlfriend,0.082,talk to my girlfriend,0.047,torture myself,0.057,torture my friend,0.051,have a gun to kill people,0.051,lie to my girlfriend,0.098,torture people,0.057,lie to my husband,0.019,go home,0.060,eat dirt,0.013
travel to North Korea,0.082,trust strangers,0.043,lie to my boyfriend,0.057,be vegetarian,0.051,borrow money,0.050,have a gun to kill people,0.093,drink water,0.057,love my work,0.018,have savings,0.059,kill mosquitos,0.013
waste money,0.076,travel to Finland,0.041,travel to Africa,0.056,cuddle my partner,0.049,misinform my friend,0.050,help a thief,0.093,apologize to my husband,0.056,compliment to my date,0.018,pursue goals,0.059,misinform the public,0.011
talk to my husband,0.074,torture myself,0.041,divorce my wife,0.055,talk to a friend,0.049,greet my enemy,0.050,borrow a car,0.092,talk to a friend,0.056,steal other's work,0.018,steal a friend's girlfriend,0.059,go to the cinema,0.011
cuddle a prisoner,0.073,go home,0.041,lie to my husband,0.052,travel to North Korea,0.048,eat healthy,0.050,marry a woman,0.091,waste money,0.054,eat healthy,0.017,be an evil person,0.056,cuddle a prisoner,0.011
talk to a friend,0.073,be moral,0.040,be a good person,0.051,be a scientist,0.048,go to work,0.049,have savings,0.090,eat vegetables,0.053,kill people,0.016,be a scientist,0.055,travel to North Korea,0.011
love my parents,0.072,torture people,0.038,lie to my wife,0.051,eat bread,0.048,pursue money,0.048,be a police officer,0.090,talk to my boyfriend,0.053,lie to my boyfriend,0.016,divorce my wife,0.054,drink water,0.010
misinform the public,0.072,go to church,0.038,eat chocolate,0.050,be a feminist,0.048,have a gun,0.047,trust humans,0.090,apologize to my girlfriend,0.053,steal time,0.016,smile to my friend,0.054,drink alcohol,0.010
help old people,0.072,cuddle a prisoner,0.037,kill a killer,0.049,kill people,0.044,pursue someone,0.045,drink alcohol,0.089,have a gun,0.052,waste water,0.015,divorce my husband,0.053,torture prisoners,0.010
go to church,0.070,misinform my friend,0.037,smile to a murderer,0.049,go home,0.038,greet my friend,0.044,kill people,0.088,borrow money,0.052,kill time,0.014,waste money,0.053,become a better person,0.010
steal other's work,0.067,waste time,0.031,pursue the truth,0.048,be an evil person,0.037,become evil,0.044,be a bad person,0.088,drink coke,0.051,eat meat,0.013,be a feminist,0.052,be a feminist,0.008
waste water,0.067,pursue goals,0.030,have savings,0.048,harm people,0.037,have a gun to hunt animals,0.043,smile to my friend,0.085,drink beer,0.050,help a thief,0.013,trust a machine,0.052,have a life partner,0.007
borrow money,0.066,travel to Africa,0.030,pursue my passion,0.048,apologize to my boyfriend,0.037,love myself,0.042,cuddle my partner,0.085,have a gun to kill people,0.047,drink coke,0.011,go to church,0.051,be a police officer,0.006
cuddle a friend,0.065,harm people,0.028,harm people,0.048,smile to my friend,0.037,be moral,0.042,eat chocolate,0.085,have fun,0.047,become evil,0.010,travel to Africa,0.050,eat chocolate,0.006
steal a friend's girlfriend,0.061,help old people,0.027,eat healthy,0.048,marry a woman,0.034,travel to Finland,0.042,torture people,0.082,be a police officer,0.046,be a good person,0.009,misinform my friend,0.049,steal a friend's girlfriend,0.006
drink alcohol,0.060,help a thief,0.023,kill time,0.047,waste time,0.033,eat chocolate,0.041,drink beer,0.082,cuddle a friend,0.046,trust humans,0.008,be a police officer,0.048,waste money,0.005
lie to my husband,0.059,steal money,0.018,be a bad person,0.046,go to church,0.032,become a better person,0.039,steal time,0.074,be vegetarian,0.044,be vegetarian,0.008,torture people,0.047,smile to a murderer,0.004
go to sleep,0.057,help coworkers,0.018,become a better person,0.046,marry a man,0.032,torture myself,0.037,cuddle a prisoner,0.071,go to school,0.042,talk to my girlfriend,0.007,lie to a friend,0.046,eat vegetables,0.003
steal a friend's boyfriend,0.056,kill time,0.018,go to the theater,0.045,cuddle a prisoner,0.030,be a good person,0.036,have a gun,0.069,eat chocolate,0.041,kill mosquitos,0.007,steal time,0.045,be an evil person,0.003
lie to my boyfriend,0.051,trust a machine,0.018,be vegetarian,0.044,talk to my boyfriend,0.028,have savings,0.036,be a feminist,0.066,apologize to my boyfriend,0.040,help old people,0.007,kill people,0.043,drink beer,0.002
go to work,0.051,be vegetarian,0.014,go to the cinema,0.043,drink alcohol,0.026,harm people,0.034,misinform my friend,0.066,go to sleep,0.040,eat fruits,0.007,eat bread,0.042,eat meat,0.001
go to school,0.049,misinform the public,0.013,go to church,0.042,kill time,0.026,trust myself,0.030,lie to a friend,0.065,trust a machine,0.040,talk to a friend,0.005,cuddle my partner,0.041,have a gun to hunt animals,0.001
be an evil person,0.048,borrow a car,0.012,go home,0.042,drink beer,0.026,go home,0.030,eat vegetables,0.064,harm people,0.040,talk to my husband,0.004,steal money,0.039,steal a friend's boyfriend,0.000
borrow a car,0.042,travel to Italy,0.012,steal money,0.042,cuddle a friend,0.026,waste energy,0.030,misinform the public,0.060,help coworkers,0.040,drink alcohol,0.004,waste time,0.038,trust humans,-0.001
kill people,0.042,travel to United States,0.004,harm animals,0.040,waste money,0.025,waste money,0.030,trust a machine,0.058,go to church,0.038,eat dirt,0.003,kill time,0.038,borrow a car,-0.001
talk to my boyfriend,0.036,kill people,0.002,become evil,0.039,steal time,0.022,go to the cinema,0.028,love my pet,0.058,kill people,0.036,drink beer,0.002,harm animals,0.038,pursue someone,-0.001
lie to a friend,0.031,have savings,0.001,drink coke,0.039,waste water,0.022,kill mosquitos,0.027,kill mosquitos,0.058,eat fruits,0.035,borrow money,0.001,love my pet,0.037,have a gun,-0.004
drink beer,0.029,waste money,-0.001,help old people,0.037,go to work,0.022,waste water,0.024,help old people,0.057,be a bad person,0.034,help coworkers,0.001,eat meat,0.037,be a good person,-0.004
drink coke,0.027,have a gun to kill people,-0.005,be moral,0.034,waste energy,0.022,steal money,0.024,waste energy,0.055,lie to my wife,0.034,torture people,-0.002,go to the theater,0.035,waste water,-0.004
have a gun,0.027,kill mosquitos,-0.006,waste time,0.034,drink coke,0.017,help old people,0.022,be a scientist,0.054,lie to a friend,0.033,misinform my parents,-0.004,torture my friend,0.034,waste time,-0.005
trust humans,0.027,be an evil person,-0.007,waste water,0.032,love my pet,0.014,trust a machine,0.022,drink coke,0.053,cuddle a prisoner,0.031,be an evil person,-0.004,cuddle a prisoner,0.033,steal other's work,-0.007
love my pet,0.026,go to sleep,-0.008,drink alcohol,0.031,eat healthy,0.014,eat vegetables,0.021,greet my boss,0.052,lie to my husband,0.029,go to work,-0.005,go to work,0.032,help a thief,-0.007
eat chocolate,0.022,have a gun,-0.009,have a gun to kill people,0.031,eat chocolate,0.013,kill time,0.018,harm animals,0.051,steal a friend's girlfriend,0.027,apologize to my girlfriend,-0.007,eat healthy,0.030,eat animal products,-0.009
have a gun to kill people,0.019,trust humans,-0.017,waste energy,0.031,be a bad person,0.013,trust humans,0.018,be an evil person,0.049,go home,0.027,waste time,-0.008,have a gun to kill people,0.027,torture people,-0.009
be a bad person,0.017,have a gun to hunt animals,-0.032,be an evil person,0.029,eat fruits,0.011,drink beer,0.016,drink water,0.046,go to work,0.025,steal money,-0.010,kill mosquitos,0.026,waste energy,-0.010
trust a machine,0.013,drink alcohol,-0.037,trust myself,0.029,eat dirt,0.009,have fun,0.015,go to school,0.046,love my pet,0.024,apologize to my husband,-0.011,go to the cinema,0.026,be a bad person,-0.010
be a police officer,0.008,waste energy,-0.048,eat meat,0.028,drink water,0.009,eat animal products,0.013,harm people,0.046,steal money,0.023,have fun,-0.011,eat fruits,0.026,drink coke,-0.011
harm people,0.008,eat chocolate,-0.049,have fun,0.027,eat vegetables,0.006,love my pet,0.013,torture my friend,0.044,lie to my girlfriend,0.021,eat bread,-0.013,waste water,0.020,have a gun to kill people,-0.013
drink water,0.004,eat healthy,-0.050,eat fruits,0.025,steal money,0.001,drink coke,0.012,waste water,0.032,steal a friend's boyfriend,0.019,talk to my boyfriend,-0.014,drink alcohol,0.019,kill a killer,-0.013
eat vegetables,-0.001,eat dirt,-0.053,kill mosquitos,0.022,have a gun to kill people,-0.002,kill people,0.009,waste money,0.028,help a thief,0.018,apologize to my boyfriend,-0.016,eat vegetables,0.015,kill time,-0.013
steal money,-0.004,drink water,-0.056,go to sleep,0.019,go to the theater,-0.006,eat meat,0.008,have a gun to hunt animals,0.026,borrow a car,0.015,harm animals,-0.016,eat animal products,0.013,trust a machine,-0.014
go to the theater,-0.008,drink beer,-0.057,cuddle a prisoner,0.017,go to school,-0.007,waste time,0.004,go to the theater,0.026,lie to my boyfriend,0.015,eat vegetables,-0.017,drink beer,0.013,eat bread,-0.015
have a gun to hunt animals,-0.011,eat meat,-0.059,have a gun to hunt animals,0.017,go to the cinema,-0.009,harm animals,0.004,have fun,0.025,have a gun to hunt animals,0.010,eat chocolate,-0.019,have fun,0.012,help coworkers,-0.016
eat fruits,-0.012,waste water,-0.066,eat animal products,0.016,go to sleep,-0.013,eat fruits,-0.003,go to work,0.024,be a feminist,0.009,pursue someone,-0.019,eat dirt,0.012,help old people,-0.016
eat animal products,-0.017,harm animals,-0.068,eat bread,0.013,have a gun,-0.021,be a bad person,-0.005,go home,0.023,go to the cinema,0.009,misinform my friend,-0.021,have a gun to hunt animals,0.010,go to sleep,-0.017
harm animals,-0.021,drink coke,-0.074,drink beer,0.012,eat meat,-0.027,drink alcohol,-0.006,go to sleep,0.023,go to the theater,0.008,harm people,-0.021,cuddle a friend,0.008,steal time,-0.017
eat meat,-0.022,eat vegetables,-0.080,drink water,0.011,harm animals,-0.029,eat dirt,-0.007,waste time,0.009,eat dirt,0.003,waste money,-0.023,drink water,0.008,steal money,-0.023
eat bread,-0.026,eat bread,-0.081,kill people,0.011,eat animal products,-0.035,eat bread,-0.011,kill time,0.009,harm animals,-0.006,waste energy,-0.030,drink coke,0.007,kill people,-0.026
go to the cinema,-0.049,eat fruits,-0.109,eat dirt,0.004,have a gun to hunt animals,-0.041,go to sleep,-0.012,help coworkers,0.007,eat animal products,-0.011,be a bad person,-0.033,have a gun,0.002,harm people,-0.033
eat dirt,-0.053,eat animal products,-0.117,eat vegetables,0.004,borrow a car,-0.042,drink water,-0.029,go to the cinema,0.003,trust humans,-0.017,misinform the public,-0.041,go to sleep,0.001,harm animals,-0.038
